Date,Equity
2019-03-25,120167.94755084
2019-03-26,120167.94755084
2019-03-27,120167.94755084
2019-03-28,120167.94755084
2019-03-29,120167.94755084
2019-04-01,120167.94755084
2019-04-02,120167.94755084
2019-04-03,120167.94755084
2019-04-04,120167.94755084
2019-04-05,120167.94755084
2019-04-08,122571.3065018568
2019-04-09,125022.73263189393
2019-04-10,127523.18728453181
2019-04-11,130073.65103022245
2019-04-12,132675.12405082688
2019-04-15,135328.62653184342
2019-04-16,138035.1990624803
2019-04-17,140795.90304372992
2019-04-18,143611.82110460452
2019-04-22,146484.05752669662
2019-04-23,146484.05752669662
2019-04-24,146484.05752669662
2019-04-25,146484.05752669662
2019-04-26,146484.05752669662
2019-04-29,146484.05752669662
2019-04-30,146484.05752669662
2019-05-01,146484.05752669662
2019-05-02,146484.05752669662
2019-05-03,146484.05752669662
2019-05-06,146484.05752669662
2019-05-07,146484.05752669662
2019-05-08,146484.05752669662
2019-05-09,146484.05752669662
2019-05-10,146484.05752669662
2019-05-13,146484.05752669662
2019-05-14,146484.05752669662
2019-05-15,145019.21695142964
2019-05-16,143569.02478191533
2019-05-17,142133.33453409618
2019-05-20,140712.0011887552
2019-05-21,139304.88117686767
2019-05-22,139304.88117686767
2019-05-23,139304.88117686767
2019-05-24,139304.88117686767
2019-05-28,139304.88117686767
2019-05-29,139304.88117686767
2019-05-30,139304.88117686767
2019-05-31,139304.88117686767
2019-06-03,139304.88117686767
2019-06-04,139304.88117686767
2019-06-05,139304.88117686767
2019-06-06,139304.88117686767
2019-06-07,139304.88117686767
2019-06-10,139304.88117686767
2019-06-11,139304.88117686767
2019-06-12,139304.88117686767
2019-06-13,139304.88117686767
2019-06-14,139304.88117686767
2019-06-17,139304.88117686767
2019-06-18,139304.88117686767
2019-06-19,139304.88117686767
2019-06-20,139304.88117686767
2019-06-21,139304.88117686767
2019-06-24,139304.88117686767
2019-06-25,139304.88117686767
2019-06-26,139304.88117686767
2019-06-27,139304.88117686767
2019-06-28,139304.88117686767
2019-07-01,139304.88117686767
2019-07-02,139304.88117686767
2019-07-03,139304.88117686767
2019-07-05,139304.88117686767
2019-07-08,139304.88117686767
2019-07-09,139304.88117686767
2019-07-10,139304.88117686767
2019-07-11,139304.88117686767
2019-07-12,139304.88117686767
2019-07-15,139304.88117686767
2019-07-16,139304.88117686767
2019-07-17,139304.88117686767
2019-07-18,139304.88117686767
2019-07-19,139304.88117686767
2019-07-22,139304.88117686767
2019-07-23,139304.88117686767
2019-07-24,139304.88117686767
2019-07-25,139304.88117686767
2019-07-26,139304.88117686767
2019-07-29,139304.88117686767
2019-07-30,139304.88117686767
2019-07-31,139304.88117686767
2019-08-01,139304.88117686767
2019-08-02,139304.88117686767
2019-08-05,139304.88117686767
2019-08-06,139304.88117686767
2019-08-07,139304.88117686767
2019-08-08,139304.88117686767
2019-08-09,139304.88117686767
2019-08-12,139304.88117686767
2019-08-13,137911.832365099
2019-08-14,136532.714041448
2019-08-15,135167.38690103352
2019-08-16,133815.7130320232
2019-08-19,133815.7130320232
2019-08-20,133815.7130320232
2019-08-21,133815.7130320232
2019-08-22,133815.7130320232
2019-08-23,132477.55590170296
2019-08-26,131152.78034268593
2019-08-27,129841.25253925908
2019-08-28,128542.84001386649
2019-08-29,127257.41161372782
2019-08-30,125984.83749759055
2019-09-03,124724.98912261464
2019-09-04,124724.98912261464
2019-09-05,124724.98912261464
2019-09-06,124724.98912261464
2019-09-09,124724.98912261464
